protocol_id,study_class,learning_rate,target_delay_steps,target_kind,initial_raw,d_max_steps,optimizer_steps,optimizer,loss,stochastic_seed,task_data,test_split_opened,initial_delay_steps,final_delay_steps,final_raw,final_loss,final_absolute_delay_error_steps,convergence_step,recovered_within_0p1_step,initial_raw_gradient,final_raw_gradient,initial_sigmoid_slope,final_sigmoid_slope,delay_parameter_count,complete
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,0.0,boundary_stress,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,0.11991263180971146,-4.185330867767334,0.007189519703388214,0.11991263180971146,,False,0.02033184841275215,0.014163510873913765,0.14130165048532725,0.11811525190127004,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,0.0,boundary_stress,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,0.8071503043174744,-2.18733286857605,0.3257458209991455,0.8071503043174744,,False,0.8009946346282959,0.5857601761817932,0.8399486666694922,0.7257138525975004,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,0.0,boundary_stress,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,3.610156297683716,-0.19554242491722107,6.5166144371032715,3.610156297683716,,False,8.0,7.151729583740234,2.0,1.9810027359705416,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,0.0,boundary_stress,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,6.860255241394043,1.7949405908584595,23.531551361083984,6.860255241394043,,False,5.9185967445373535,6.704990863800049,0.8399489844313166,0.9773674942597381,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,0.0,boundary_stress,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,7.8236002922058105,3.7921459674835205,30.604360580444336,7.8236002922058105,,False,1.1100831031799316,1.3496501445770264,0.14130186596227645,0.17251010068045503,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,1.0,interior,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,0.17615856230258942,-3.793546438217163,0.3393573760986328,0.8238414376974106,,False,-0.12096980214118958,-0.14193105697631836,0.14130165048532725,0.172279582418525,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,1.0,interior,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,0.9999980926513672,-1.9459123611450195,1.8189894035458565e-12,1.9073486328125e-06,0,True,-0.038954004645347595,-1.6689273252268322e-06,0.8399486666694922,0.8749985694880706,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,1.0,interior,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,3.612959861755371,-0.19412735104560852,3.4137797355651855,2.612959861755371,,False,6.0,5.176991939544678,2.0,1.9812749914234473,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,1.0,interior,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,6.860433578491211,1.7951229810714722,17.172340393066406,5.860433578491211,,False,5.078647613525391,5.727049827575684,0.8399489844313166,0.9772399678799957,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,1.0,interior,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,7.823604106903076,3.7921674251556396,23.280786514282227,6.823604106903076,,False,0.9687811136245728,1.1771156787872314,0.14130186596227645,0.17250645420924116,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,5.0,interior,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,0.17638222873210907,-3.7922489643096924,11.633645057678223,4.823617771267891,,False,-0.6861763596534729,-0.8320422172546387,0.14130165048532725,0.17249339240554581,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,5.0,interior,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,1.1389440298080444,-1.7957597970962524,7.45387601852417,3.8610559701919556,,False,-3.3987488746643066,-3.7714593410491943,0.8399486666694922,0.976794841928621,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,5.0,interior,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,4.362984657287598,0.18199287354946136,0.20289427042007446,0.6370153427124023,,False,-2.0,-1.2635393142700195,2.0,1.9835302673217257,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,5.0,interior,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,6.862918376922607,1.7976678609848022,1.7352324724197388,1.8629183769226074,,False,1.7188515663146973,1.817206621170044,0.8399489844313166,0.9754622958848529,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,5.0,interior,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,7.823651313781738,3.792442560195923,3.9865033626556396,2.8236513137817383,,False,0.4035736918449402,0.4869706332683563,0.14130186596227645,0.17246132882689835,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,7.0,interior,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,0.17639628052711487,-3.7921674251556396,23.28078269958496,6.823603719472885,,False,-0.9687796235084534,-1.177118182182312,0.14130165048532725,0.1725068245541398,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,7.0,interior,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,1.13956618309021,-1.7951229810714722,17.172340393066406,5.86043381690979,,False,-5.078646183013916,-5.727048873901367,0.8399486666694922,0.9772397973848612,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,7.0,interior,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,4.387039661407471,0.19412735104560852,3.413780927658081,2.6129603385925293,,False,-6.0,-5.176993370056152,2.0,1.9812750375621988,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,7.0,interior,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,7.000001907348633,1.945912480354309,1.8189894035458565e-12,1.9073486328125e-06,0,True,0.038953665643930435,1.6689273252268322e-06,0.8399489844313166,0.8749985694880706,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,7.0,interior,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,7.823841094970703,3.793546199798584,0.33935707807540894,0.8238410949707031,,False,0.12096995115280151,0.14193126559257507,0.14130186596227645,0.17227991005165677,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,8.0,boundary_stress,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,0.17639999091625214,-3.7921459674835205,30.60435676574707,7.823600009083748,,False,-1.1100813150405884,-1.3496520519256592,0.14130165048532725,0.1725103713168454,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,8.0,boundary_stress,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,1.1397444009780884,-1.7949405908584595,23.53155517578125,6.860255599021912,,False,-5.918594837188721,-6.704989433288574,0.8399486666694922,0.9773672385329757,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,8.0,boundary_stress,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,4.389843463897705,0.19554243981838226,6.51661491394043,3.610156536102295,,False,-8.0,-7.151730060577393,2.0,1.9810027592070298,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,8.0,boundary_stress,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,7.192849636077881,2.18733286857605,0.3257458508014679,0.8071503639221191,,False,-0.8009953498840332,-0.585760235786438,0.8399489844313166,0.725713900174668,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.001,8.0,boundary_stress,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,7.880087375640869,4.185330867767334,0.0071895187720656395,0.11991262435913086,,False,-0.020331911742687225,-0.014163509011268616,0.14130186596227645,0.1181152446740441,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,0.0,boundary_stress,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,0.047236304730176926,-5.12611198425293,0.0011156342225149274,0.047236304730176926,41,True,0.02033184841275215,0.002218093955889344,0.14130165048532725,0.04695739616960666,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,0.0,boundary_stress,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,0.32111644744873047,-3.1744256019592285,0.051557887345552444,0.32111644744873047,,False,0.8009946346282959,0.0989767536520958,0.8399486666694922,0.3082269758459688,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,0.0,boundary_stress,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,1.5307235717773438,-1.4413236379623413,1.1715573072433472,1.5307235717773438,,False,8.0,1.8947820663452148,2.0,1.2378342401279951,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,0.0,boundary_stress,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,3.681920051574707,-0.15937639772891998,6.778267860412598,3.681920051574707,,False,5.9185967445373535,7.317275047302246,0.8399489844313166,1.9873531433012204,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,0.0,boundary_stress,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,6.123260974884033,1.1825590133666992,18.747161865234375,6.123260974884033,,False,1.1100831031799316,8.795883178710938,0.14130186596227645,1.4364703540668131,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,1.0,interior,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,0.9769676923751831,-1.9724968671798706,0.0002652436087373644,0.023032307624816895,178,True,-0.12096980214118958,-0.019753875210881233,0.14130165048532725,0.8576594583820718,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,1.0,interior,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,0.9999992847442627,-1.9459110498428345,2.5579538487363607e-13,7.152557373046875e-07,0,True,-0.038954004645347595,-6.258484290810884e-07,0.8399486666694922,0.8749994635581331,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,1.0,interior,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,1.7007122039794922,-1.309389591217041,0.24549879133701324,0.7007122039794922,,False,6.0,0.9383653402328491,2.0,1.3391594538838945,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,1.0,interior,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,3.7701616287231445,-0.11504577100276947,3.836897611618042,2.7701616287231445,,False,5.078647613525391,5.522031307220459,0.8399489844313166,1.9933967903861003,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,1.0,interior,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,6.1399383544921875,1.1942049264907837,13.20948314666748,5.1399383544921875,,False,0.9687811136245728,7.337688446044922,0.14130186596227645,1.4275829798716586,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,5.0,interior,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,1.8050376176834106,-1.2331550121307373,5.103892803192139,3.1949623823165894,,False,-0.6861763596534729,-4.46581506729126,0.14130165048532725,1.3977675175268853,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,5.0,interior,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,3.899916887283325,-0.05005209147930145,0.6050914525985718,1.1000831127166748,,False,-3.3987488746643066,-2.19878888130188,0.8399486666694922,1.9987479213186177,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,5.0,interior,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,4.999948024749756,0.5107979774475098,1.35071331897052e-09,5.1975250244140625e-05,62,True,-2.0,-9.745427087182179e-05,2.0,1.8750129934748827,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,5.0,interior,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,5.059178829193115,0.5425152778625488,0.0017510668840259314,0.059178829193115234,187,True,1.7188515663146973,0.11005886644124985,0.8399489844313166,1.8597675259736377,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,5.0,interior,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,6.3323469161987305,1.3342537879943848,0.8875741362571716,1.3323469161987305,,False,0.4035736918449402,1.7587240934371948,0.14130186596227645,1.320019732812284,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,7.0,interior,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,1.860061526298523,-1.1942050457000732,13.20948314666748,5.139938473701477,,False,-0.9687796235084534,-7.337687969207764,0.14130165048532725,1.427582916096524,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,7.0,interior,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,4.229837894439697,0.11504576355218887,3.8368990421295166,2.7701621055603027,,False,-5.078646183013916,-5.522032260894775,0.8399486666694922,1.9933968177849408,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,7.0,interior,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,6.299287796020508,1.309389591217041,0.24549879133701324,0.7007122039794922,,False,-6.0,-0.9383653402328491,2.0,1.3391594538838945,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,7.0,interior,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,7.000000953674316,1.9459112882614136,4.547473508864641e-13,9.5367431640625e-07,0,True,0.038953665643930435,8.344643447344424e-07,0.8399489844313166,0.874999284744149,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,7.0,interior,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,7.0230326652526855,1.9724971055984497,0.00026525184512138367,0.023032665252685547,178,True,0.12096995115280151,0.01975417695939541,0.14130186596227645,0.8576591881019056,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,8.0,boundary_stress,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,1.8767390251159668,-1.1825590133666992,18.747161865234375,6.123260974884033,,False,-1.1100813150405884,-8.795882225036621,0.14130165048532725,1.4364703540668131,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,8.0,boundary_stress,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,4.318079948425293,0.15937650203704834,6.778267860412598,3.681920051574707,,False,-5.918594837188721,-7.317275524139404,0.8399486666694922,1.9873531433012204,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,8.0,boundary_stress,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,6.469276428222656,1.4413236379623413,1.1715573072433472,1.5307235717773438,,False,-8.0,-1.8947820663452148,2.0,1.2378342401279951,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,8.0,boundary_stress,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,7.6788835525512695,3.1744256019592285,0.051557887345552444,0.32111644744873047,,False,-0.8009953498840332,-0.0989767536520958,0.8399489844313166,0.3082269758459688,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.01,8.0,boundary_stress,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,7.952763557434082,5.1261115074157715,0.0011156407417729497,0.04723644256591797,41,True,-0.020331911742687225,-0.002218106761574745,0.14130186596227645,0.04695753237763256,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,0.0,boundary_stress,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,0.014547194354236126,-6.307978630065918,0.00010581043170532212,0.014547194354236126,8,True,0.02033184841275215,0.00021123603801243007,0.14130165048532725,0.014520741746288635,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,0.0,boundary_stress,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,0.09601166099309921,-4.410653114318848,0.004609119612723589,0.09601166099309921,189,True,0.8009946346282959,0.009107607416808605,0.8399486666694922,0.0948593811122675,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,0.0,boundary_stress,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,0.3898828327655792,-2.9713876247406006,0.07600431144237518,0.3898828327655792,,False,8.0,0.14460042119026184,2.0,0.37088175485491515,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,0.0,boundary_stress,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,0.6097855567932129,-2.494804620742798,0.18591921031475067,0.6097855567932129,,False,5.9185967445373535,0.3434956967830658,0.8399489844313166,0.5633057536340118,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,0.0,boundary_stress,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,0.6026120781898499,-2.507608652114868,0.18157066404819489,0.6026120781898499,,False,1.1100831031799316,0.33578717708587646,0.14130186596227645,0.5572194135923136,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,1.0,interior,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,0.9999505281448364,-1.9459667205810547,1.2237322266628325e-09,4.947185516357422e-05,37,True,-0.12096980214118958,-4.328603608882986e-05,0.14130165048532725,0.8749628958026943,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,1.0,interior,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,0.9999997615814209,-1.9459103345870972,2.842170943040401e-14,2.384185791015625e-07,0,True,-0.038954004645347595,-2.0861619987044833e-07,0.8399486666694922,0.8749998211860586,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,1.0,interior,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,1.0007240772247314,-1.9450829029083252,2.62143913687396e-07,0.0007240772247314453,76,True,6.0,0.0006339607061818242,2.0,0.8755429923825702,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,1.0,interior,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,1.078093409538269,-1.8594970703125,0.0030492902733385563,0.07809340953826904,185,True,5.078647613525391,0.07284613698720932,0.8399489844313166,0.9328077345770378,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,1.0,interior,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,1.0697842836380005,-1.8684338331222534,0.002434923080727458,0.06978428363800049,179,True,0.9687811136245728,0.06467115134000778,0.14130186596227645,0.9267294819481418,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,5.0,interior,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,4.999693870544434,0.5106622576713562,4.685762178269215e-08,0.00030612945556640625,77,True,-0.6861763596534729,-0.0005740161286666989,0.14130165048532725,1.8750765206494862,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,5.0,interior,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,4.999716281890869,0.510674238204956,4.0247982724395115e-08,0.0002837181091308594,56,True,-3.3987488746643066,-0.0005319915944710374,0.8399486666694922,1.875070919465287,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,5.0,interior,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,5.000012397766113,0.5108322501182556,7.685230229981244e-11,1.239776611328125e-05,10,True,-2.0,2.324577326362487e-05,2.0,1.8749969005392586,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,5.0,interior,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,5.00007438659668,0.510865330696106,2.7666828827932477e-09,7.43865966796875e-05,31,True,1.7188515663146973,0.00013947348634246737,0.8399489844313166,1.8749814026591594,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,5.0,interior,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,4.999818325042725,0.5107289552688599,1.6502895050507504e-08,0.00018167495727539062,60,True,0.4035736918449402,-0.0003406487812753767,0.14130186596227645,1.875045414613595,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,7.0,interior,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,6.930215835571289,1.868433952331543,0.0024349146988242865,0.06978416442871094,179,True,-0.9687796235084534,-0.06467103213071823,0.14130165048532725,0.9267293946209065,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,7.0,interior,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,6.921906471252441,1.8594969511032104,0.0030492995865643024,0.0780935287475586,185,True,-5.078646183013916,-0.07284625619649887,0.8399486666694922,0.9328078216566382,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,7.0,interior,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,6.999276161193848,1.9450827836990356,2.6197130864602514e-07,0.0007238388061523438,76,True,-6.0,-0.0006337518570944667,2.0,0.8755428136117871,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,7.0,interior,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,7.000000953674316,1.9459112882614136,4.547473508864641e-13,9.5367431640625e-07,0,True,0.038953665643930435,8.344643447344424e-07,0.8399489844313166,0.874999284744149,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,7.0,interior,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,7.000049114227295,1.9459664821624756,1.2061036613886245e-09,4.9114227294921875e-05,37,True,0.12096995115280151,4.2973140807589516e-05,0.14130186596227645,0.8749631640280029,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,8.0,boundary_stress,-4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.1438896805047989,7.397387504577637,2.507608652114868,0.181570902466774,0.6026124954223633,,False,-1.1100813150405884,-0.3357875943183899,0.14130165048532725,0.5572197679674673,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,8.0,boundary_stress,-2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,0.953623354434967,7.390214920043945,2.494804859161377,0.185918927192688,0.6097850799560547,,False,-5.918594837188721,-0.3434952199459076,0.8399486666694922,0.5633053494889282,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,8.0,boundary_stress,0.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,4.0,7.610116958618164,2.9713873863220215,0.07600439339876175,0.38988304138183594,,False,-8.0,-0.14460058510303497,2.0,0.37088194313719214,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,8.0,boundary_stress,2.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.0463762283325195,7.903988838195801,4.410653114318848,0.004609071649610996,0.09601116180419922,189,True,-0.8009953498840332,-0.009107512421905994,0.8399489844313166,0.0948588939053252,1,True
delay_parameter_recovery_level0a_v1,diagnostic_unit_experiment,0.05,8.0,boundary_stress,4.0,8.0,200,Adam,half_squared_nominal_delay_error,,,False,7.856110095977783,7.985452651977539,6.307980537414551,0.00010581266542430967,0.014547348022460938,8,True,-0.020331911742687225,-0.00021124050545040518,0.14130186596227645,0.014520894855650113,1,True
