order_id,condition,seed,query_ops,worst_balanced_accuracy,exact_trial_accuracy,pooled_accuracy,min_output_current_support,min_output_activity,min_realized_arrival_mass,hidden_spikes,synaptic_events,neuron_updates,delay_memory
cyclic_0,d0,19,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.10199999809265137,0.5086666941642761,0.0,0.0,0.0,18.618000030517578,485.0360164642334,2080,400
cyclic_0,d0,7,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.07599999755620956,0.4986666738986969,0.0,0.0,0.0,16.493999481201172,483.7879886627197,2080,400
cyclic_0,d0,73,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.07400000095367432,0.49933332204818726,0.0,0.0,0.0,17.219999313354492,480.63998794555664,2080,400
cyclic_0,fixed_full_support,19,"[""XOR"", ""NAND"", ""NOR""]",0.48750078678131104,0.42800000309944153,0.7900000214576721,1.0,0.46875,0.14019666794924607,23.440000534057617,494.6800174713135,2080,400
cyclic_0,fixed_full_support,7,"[""XOR"", ""NAND"", ""NOR""]",0.6342592239379883,0.5040000081062317,0.7766666412353516,0.984375,0.625,0.1774687942878354,16.173999786376953,483.1479892730713,2080,400
cyclic_0,fixed_full_support,73,"[""XOR"", ""NAND"", ""NOR""]",0.48284173011779785,0.37599998712539673,0.7526666522026062,1.0,0.109375,0.12959009209602748,22.52400016784668,491.247989654541,2080,400
cyclic_0,fixed_matched,19,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.17399999499320984,0.6566666960716248,0.0,0.0,0.0,11.395999908447266,470.5920162200928,2080,400
cyclic_0,fixed_matched,7,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.18799999356269836,0.6506666541099548,0.0,0.0,0.0,9.534000396728516,469.8679904937744,2080,400
cyclic_0,fixed_matched,73,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.32199999690055847,0.7233333587646484,0.0,0.0,0.0,12.321999549865723,470.8439884185791,2080,400
cyclic_0,scalar,19,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.3919999897480011,0.7233333587646484,0.0,0.0,0.0,12.930000305175781,473.6600170135498,2080,2
cyclic_0,scalar,7,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.15000000596046448,0.6520000100135803,0.0,0.0,0.0,16.166000366210938,483.13199043273926,2080,2
cyclic_0,scalar,73,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.257999986410141,0.6853333115577698,0.0,0.0,0.0,14.142000198364258,474.4839897155762,2080,2
cyclic_0,w_and_d,19,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.5460000038146973,0.8486666679382324,0.65625,0.21875,0.06993973534413345,17.423999786376953,482.64801597595215,2080,400
cyclic_0,w_and_d,7,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.5860000252723694,0.8539999723434448,0.734375,0.4375,0.10883832185650127,21.166000366210938,493.13199043273926,2080,400
cyclic_0,w_and_d,73,"[""XOR"", ""NAND"", ""NOR""]",0.5,0.6480000019073486,0.8673333525657654,0.9375,0.421875,0.1016781505696715,18.25200080871582,482.7039909362793,2080,400
cyclic_1,d0,19,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.10000000149011612,0.4713333249092102,0.0,0.0,0.0,14.847999572753906,477.49601554870605,2080,400
cyclic_1,d0,7,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.07800000160932541,0.4819999933242798,0.0,0.0,0.0,12.697999954223633,476.19598960876465,2080,400
cyclic_1,d0,73,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.1080000028014183,0.49133333563804626,0.0,0.0,0.0,10.777999877929688,467.75598907470703,2080,400
cyclic_1,fixed_full_support,19,"[""NAND"", ""NOR"", ""XOR""]",0.5316798090934753,0.24799999594688416,0.6653333306312561,1.0,0.78125,0.21627067609409045,15.631999969482422,479.0640163421631,2080,400
cyclic_1,fixed_full_support,7,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.15600000321865082,0.6206666827201843,0.75,0.0,0.08304205860865502,13.550000190734863,477.8999900817871,2080,400
cyclic_1,fixed_full_support,73,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.15600000321865082,0.5766666531562805,1.0,0.0625,0.23209121296035518,12.62399959564209,471.44798851013184,2080,400
cyclic_1,fixed_matched,19,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.20399999618530273,0.656000018119812,0.0,0.0,0.0,20.464000701904297,488.72801780700684,2080,400
cyclic_1,fixed_matched,7,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.25,0.6700000166893005,0.0,0.0,0.0,20.270000457763672,491.3399906158447,2080,400
cyclic_1,fixed_matched,73,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.25,0.653333306312561,0.0,0.0,0.0,21.923999786376953,490.04798889160156,2080,400
cyclic_1,scalar,19,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.1979999989271164,0.6119999885559082,0.0,0.0,0.0,14.685999870300293,477.1720161437988,2080,2
cyclic_1,scalar,7,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.31200000643730164,0.6940000057220459,0.0,0.0,0.0,9.442000389099121,469.6839904785156,2080,2
cyclic_1,scalar,73,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.17399999499320984,0.6480000019073486,0.0,0.0,0.0,13.477999687194824,473.1559886932373,2080,2
cyclic_1,w_and_d,19,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.34599998593330383,0.7480000257492065,0.0,0.0,0.0,26.1299991607666,500.06001472473145,2080,400
cyclic_1,w_and_d,7,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.3919999897480011,0.7573333382606506,0.0,0.0,0.0,23.229999542236328,497.25998878479004,2080,400
cyclic_1,w_and_d,73,"[""NAND"", ""NOR"", ""XOR""]",0.5,0.44999998807907104,0.8100000023841858,0.0,0.0,0.0,25.59000015258789,497.37998962402344,2080,400
cyclic_2,d0,19,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.10000000149011612,0.5093333125114441,0.0,0.0,0.0,15.065999984741211,477.93201637268066,2080,400
cyclic_2,d0,7,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.10999999940395355,0.5073333382606506,0.0,0.0,0.0,11.140000343322754,473.0799903869629,2080,400
cyclic_2,d0,73,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.09399999678134918,0.4893333315849304,0.0,0.0,0.0,13.616000175476074,473.4319896697998,2080,400
cyclic_2,fixed_full_support,19,"[""NOR"", ""XOR"", ""NAND""]",0.486308217048645,0.35600000619888306,0.7319999933242798,1.0,0.484375,0.15470091581861695,15.4399995803833,478.68001556396484,2080,400
cyclic_2,fixed_full_support,7,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.39800000190734863,0.7386666536331177,0.90625,0.21875,0.19084460607462972,15.878000259399414,482.5559902191162,2080,400
cyclic_2,fixed_full_support,73,"[""NOR"", ""XOR"", ""NAND""]",0.48153483867645264,0.31200000643730164,0.6880000233650208,1.0,0.421875,0.18114680089075402,20.00200080871582,486.2039909362793,2080,400
cyclic_2,fixed_matched,19,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.12999999523162842,0.5806666612625122,0.0,0.0,0.0,10.461999893188477,468.7240161895752,2080,400
cyclic_2,fixed_matched,7,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.10999999940395355,0.5673333406448364,0.0,0.0,0.0,8.03600025177002,466.8719902038574,2080,400
cyclic_2,fixed_matched,73,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.09600000083446503,0.5926666855812073,0.0,0.0,0.0,14.083999633789062,474.3679885864258,2080,400
cyclic_2,scalar,19,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.11800000071525574,0.5519999861717224,0.0,0.0,0.0,8.803999900817871,465.408016204834,2080,2
cyclic_2,scalar,7,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.12399999797344208,0.5673333406448364,0.0,0.0,0.0,9.63599967956543,470.07198905944824,2080,2
cyclic_2,scalar,73,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.10199999809265137,0.5366666913032532,0.0,0.0,0.0,10.755999565124512,467.7119884490967,2080,2
cyclic_2,w_and_d,19,"[""NOR"", ""XOR"", ""NAND""]",0.5290200114250183,0.2680000066757202,0.6653333306312561,0.421875,0.25,0.0,11.567999839782715,470.9360160827637,2080,400
cyclic_2,w_and_d,7,"[""NOR"", ""XOR"", ""NAND""]",0.5,0.11400000005960464,0.5933333039283752,0.0,0.0,0.0,16.34000015258789,483.47999000549316,2080,400
cyclic_2,w_and_d,73,"[""NOR"", ""XOR"", ""NAND""]",0.5987263321876526,0.34599998593330383,0.734666645526886,0.84375,0.421875,0.05005110626692174,19.714000701904297,485.62799072265625,2080,400
