source,condition,K,hidden_size,n_seeds,pooled_accuracy_mean,worst_query_accuracy_mean,worst_query_accuracy_sd,passes_tau_on_seed_mean
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,1,10,2,0.757500022649765,0.757500022649765,0.006363963390902444,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,1,15,2,0.757500022649765,0.757500022649765,0.006363963390902444,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,1,20,2,0.757500022649765,0.757500022649765,0.006363963390902444,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,2,10,2,0.750249981880188,0.7475000023841858,0.0035355305341848568,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,2,15,2,0.750249981880188,0.7475000023841858,0.0035355305341848568,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,2,20,2,0.750249981880188,0.7475000023841858,0.0035355305341848568,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,3,10,2,0.7518333494663239,0.7299999892711639,0.0014142375017830492,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,3,15,2,0.7518333494663239,0.7299999892711639,0.0014142375017830492,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,3,20,2,0.7518333494663239,0.7299999892711639,0.0014142375017830492,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,4,10,2,0.7535000145435333,0.738999992609024,0.005656823566586664,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,4,15,2,0.7535000145435333,0.738999992609024,0.005656823566586664,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,4,20,2,0.7535000145435333,0.738999992609024,0.005656823566586664,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,5,10,2,0.7498000264167786,0.7380000054836273,0.008485298570152762,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,5,15,2,0.7498000264167786,0.7380000054836273,0.008485298570152762,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,6,10,2,0.7533333599567413,0.7224999964237213,0.02050608552764187,False
historical per_query_acc aggregate; not checkpoint re-evaluation,d0,6,15,2,0.7533333599567413,0.7224999964237213,0.02050608552764187,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,10,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,15,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,20,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,25,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,30,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,40,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,50,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,60,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,75,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,100,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,125,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,1,150,2,1.0,1.0,0.0,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,10,2,0.886000007390976,0.7720000147819519,0.031112719277044953,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,15,2,0.8737500011920929,0.7475000023841858,0.0035355305341848568,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,20,2,0.9214999973773956,0.8429999947547913,0.1315218538828525,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,25,2,0.8877499997615814,0.7754999995231628,0.04313350623453406,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,30,2,0.948500007390976,0.8970000147819519,0.14566397601959194,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,40,2,0.9320000112056732,0.8640000224113464,0.09899493925087301,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,50,2,0.9707500040531158,0.9415000081062317,0.08273148193488326,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,60,2,0.9884999990463257,0.9769999980926514,0.032526914631979494,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,75,2,0.9000000059604645,0.800000011920929,0.008485256423304251,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,100,2,0.9560000002384186,0.9120000004768372,0.059396963550523804,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,125,2,0.9884999990463257,0.9769999980926514,0.032526914631979494,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,2,150,2,0.9325000047683716,0.8650000095367432,0.0070710610683697135,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,10,2,0.8801666796207428,0.8055000007152557,0.05586147516318746,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,15,2,0.887499988079071,0.7604999840259552,0.0007070976774672692,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,20,2,0.9000000059604645,0.7634999752044678,0.0035355305341848568,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,25,2,0.9020000100135803,0.8229999840259552,0.082024384257416,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,30,2,0.9235000014305115,0.8024999797344208,0.05868986587305654,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,40,2,0.9435000121593475,0.871999979019165,0.04666903676871892,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,50,2,0.9594999849796295,0.8939999938011169,0.024041658208675237,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,60,2,0.9535000026226044,0.8605000078678131,0.10394470728684092,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,75,2,0.9496666789054871,0.8665000200271606,0.09404521336175362,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,100,2,0.9416666626930237,0.8334999978542328,0.07000359729992689,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,125,2,0.9706666767597198,0.9280000030994415,0.062225396407241396,True
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,3,150,2,0.9441666603088379,0.8495000004768372,0.09404521336175362,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,10,2,0.8401250243186951,0.7510000169277191,0.0098994939250873,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,15,2,0.8384999930858612,0.7485000193119049,0.006363963390902444,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,20,2,0.8598749935626984,0.7465000152587891,0.0035355305341848568,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,25,2,0.8682500123977661,0.7524999976158142,0.007778200892685494,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,30,2,0.8664999902248383,0.7465000152587891,0.016263457315989747,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,40,2,0.8892500102519989,0.7510000169277191,0.0098994939250873,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,50,2,0.8917500078678131,0.776500016450882,0.026162951241077047,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,60,2,0.8866250216960907,0.7510000169277191,0.0098994939250873,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,75,2,0.9036250114440918,0.7759999930858612,0.021213225351957653,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,100,2,0.9086250066757202,0.7970000207424164,0.07495332318904628,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,125,2,0.945499986410141,0.8264999985694885,0.0473761765930347,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,4,150,2,0.9293749928474426,0.8135000169277191,0.06576092694142625,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,10,2,0.8138000071048737,0.7380000054836273,0.008485298570152762,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,15,2,0.8315999805927277,0.7380000054836273,0.008485298570152762,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,20,2,0.8410000205039978,0.7504999935626984,0.006363963390902444,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,25,2,0.8515999913215637,0.7384999990463257,0.007778200892685494,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,30,2,0.8436000049114227,0.7380000054836273,0.008485298570152762,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,40,2,0.8763999938964844,0.7380000054836273,0.008485298570152762,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,50,2,0.8675000071525574,0.7380000054836273,0.008485298570152762,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,60,2,0.882099986076355,0.7380000054836273,0.008485298570152762,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,75,2,0.893200010061264,0.770499974489212,0.006363963390902444,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,100,2,0.8971999883651733,0.7409999966621399,0.012727926781804889,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,125,2,0.9328999817371368,0.8174999952316284,0.01202078695748911,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,5,150,2,0.9021999835968018,0.784500002861023,0.05020456730290378,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,10,2,0.8152500092983246,0.7245000004768372,0.02333451838435946,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,15,2,0.800166666507721,0.7245000004768372,0.02333451838435946,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,20,2,0.8223333358764648,0.7245000004768372,0.02333451838435946,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,25,2,0.8449166715145111,0.7245000004768372,0.02333451838435946,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,30,2,0.8448333442211151,0.7245000004768372,0.02333451838435946,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,40,2,0.8544166684150696,0.7245000004768372,0.02333451838435946,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,50,2,0.8520833253860474,0.7245000004768372,0.02333451838435946,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,60,2,0.8568333387374878,0.7245000004768372,0.02333451838435946,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,75,2,0.8564999997615814,0.7335000038146973,0.01060659160255457,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,100,2,0.8525833487510681,0.7240000069141388,0.02404161606182673,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,125,2,0.8815000057220459,0.7534999847412109,0.017677652670924283,False
historical per_query_acc aggregate; not checkpoint re-evaluation,w_and_d,6,150,2,0.8950833082199097,0.7554999887943268,0.02050608552764187,False
