K,accuracy,arrival_auxiliary_weight,arrival_condition,balanced_accuracy,base_arrival_lambda,checkpoint_selection,collision_rate,complete,condition,correct_target_time_rate,delay_learning_rate,delay_tying,encoding,exact_interface_completion,exact_target_spike_train_matches,exact_truth_table_completion,final_delay_fraction_within_tolerance,final_delay_max_error_steps,final_delay_max_steps,final_delay_mean_steps,final_delay_min_steps,fixed_delay_steps,full_batch_updates,gradient_clipping_flag,granularity,hidden_active_pattern_count,hidden_neurons,independent_delay_parameters,initial_delay_mean_steps,initial_raw,initial_task_arrival_gradient_conflict_fraction,initial_task_gradient_mean_abs,initial_task_gradient_norm,initial_total_gradient_correct_coordinate_fraction,initial_total_gradient_mean_abs,initial_total_gradient_nonzero_coordinate_fraction,initial_total_gradient_norm,initial_unweighted_arrival_gradient_mean_abs,initial_unweighted_arrival_gradient_norm,initial_weighted_arrival_gradient_mean_abs,initial_weighted_arrival_gradient_norm,input_events_per_trial,interface_pass,learned_delay,learned_delay_pass,mean_output_spikes_per_trial,minimum_clip_coefficient,normalization_factor,operation,protocol_id,recipe_source,seed,selection_role,silent_rate,stage,target_delay_steps,target_output_step,test_split_opened,weight_learning_rate
1,1.0,0.01,sealed_confirmation,1.0,0.01,final_only,0.0,True,global_anchor,1.0,0.01,global,single_event,True,4,True,1.0,0.017347097396850586,3.9826529026031494,3.9826529026031494,3.9826529026031494,,500,False,global,4,16,1,0.953623354434967,-2.0,1.0,0.001064178766682744,0.001064178766682744,1.0,0.024523811414837837,1.0,0.024523811414837837,2.5587987899780273,2.5587987899780273,0.025587987899780274,0.025587987899780274,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_global_anchor,2003,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.01,sealed_confirmation,1.0,0.01,final_only,0.0,True,global_anchor,1.0,0.01,global,single_event,True,4,True,1.0,0.0007693767547607422,3.9992306232452393,3.9992306232452393,3.9992306232452393,,500,False,global,4,16,1,0.953623354434967,-2.0,0.0,0.0035536009818315506,0.0035536009818315506,1.0,0.029141591861844063,1.0,0.029141591861844063,2.5587987899780273,2.5587987899780273,0.025587987899780274,0.025587987899780274,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_global_anchor,2011,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.01,sealed_confirmation,1.0,0.01,final_only,0.0,True,global_anchor,1.0,0.01,global,single_event,True,4,True,1.0,0.0014371871948242188,4.001437187194824,4.001437187194824,4.001437187194824,,500,False,global,4,16,1,0.953623354434967,-2.0,0.0,0.007544344756752253,0.007544344756752253,1.0,0.03313233703374863,1.0,0.03313233703374863,2.5587987899780273,2.5587987899780273,0.025587987899780274,0.025587987899780274,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_global_anchor,2027,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.01,sealed_confirmation,1.0,0.01,final_only,0.0,True,global_anchor,1.0,0.01,global,single_event,True,4,True,1.0,0.00039005279541015625,3.99960994720459,3.99960994720459,3.99960994720459,,500,False,global,4,16,1,0.953623354434967,-2.0,0.0,0.006599217653274536,0.006599217653274536,1.0,0.03218720853328705,1.0,0.03218720853328705,2.5587987899780273,2.5587987899780273,0.025587987899780274,0.025587987899780274,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_global_anchor,2039,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.01,sealed_confirmation,1.0,0.01,final_only,0.0,True,global_anchor,1.0,0.01,global,single_event,True,4,True,1.0,8.487701416015625e-05,3.99991512298584,3.99991512298584,3.99991512298584,,500,False,global,4,16,1,0.953623354434967,-2.0,1.0,0.0011296563316136599,0.0011296563316136599,1.0,0.02445833384990692,1.0,0.02445833384990692,2.5587987899780273,2.5587987899780273,0.025587987899780274,0.025587987899780274,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_global_anchor,2053,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.01,sealed_confirmation,1.0,0.01,final_only,0.0,True,global_anchor,1.0,0.01,global,single_event,True,4,True,1.0,0.001604318618774414,3.9983956813812256,3.9983956813812256,3.9983956813812256,,500,False,global,4,16,1,7.0463762283325195,2.0,0.0,2.4015585950110108e-05,2.4015585950110108e-05,1.0,0.025612015277147293,1.0,0.025612015277147293,2.5587997436523438,2.5587997436523438,0.025587997436523437,0.025587997436523437,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_global_anchor,2003,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.01,sealed_confirmation,1.0,0.01,final_only,0.0,True,global_anchor,1.0,0.01,global,single_event,True,4,True,1.0,0.00016307830810546875,4.0001630783081055,4.0001630783081055,4.0001630783081055,,500,False,global,4,16,1,7.0463762283325195,2.0,0.0,9.936625428963453e-05,9.936625428963453e-05,1.0,0.025687366724014282,1.0,0.025687366724014282,2.5587997436523438,2.5587997436523438,0.025587997436523437,0.025587997436523437,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_global_anchor,2011,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.01,sealed_confirmation,1.0,0.01,final_only,0.0,True,global_anchor,1.0,0.01,global,single_event,True,4,True,1.0,7.915496826171875e-05,3.9999208450317383,3.9999208450317383,3.9999208450317383,,500,False,global,4,16,1,7.0463762283325195,2.0,1.0,0.0022201298270374537,0.0022201298270374537,1.0,0.02336787059903145,1.0,0.02336787059903145,2.5587997436523438,2.5587997436523438,0.025587997436523437,0.025587997436523437,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_global_anchor,2027,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.01,sealed_confirmation,1.0,0.01,final_only,0.0,True,global_anchor,1.0,0.01,global,single_event,True,4,True,1.0,7.05718994140625e-05,4.000070571899414,4.000070571899414,4.000070571899414,,500,False,global,4,16,1,7.0463762283325195,2.0,1.0,0.0019473755965009332,0.0019473755965009332,1.0,0.023640625178813934,1.0,0.023640625178813934,2.5587997436523438,2.5587997436523438,0.025587997436523437,0.025587997436523437,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_global_anchor,2039,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.01,sealed_confirmation,1.0,0.01,final_only,0.0,True,global_anchor,1.0,0.01,global,single_event,True,4,True,1.0,0.00014495849609375,4.000144958496094,4.000144958496094,4.000144958496094,,500,False,global,4,16,1,7.0463762283325195,2.0,0.0,0.000594461162108928,0.000594461162108928,1.0,0.02618246152997017,1.0,0.02618246152997017,2.5587997436523438,2.5587997436523438,0.025587997436523437,0.025587997436523437,2,True,True,True,1.0,1.0,1.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_global_anchor,2053,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.16,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_hidden_neuron,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.00032520294189453125,4.000037670135498,3.999941825866699,3.9996747970581055,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.625,0.0005873868039998342,0.0034482252027309974,1.0,0.025521479547023773,1.0,0.10214379165515826,0.1599249243736267,0.6396996974945068,0.025587987899780274,0.1023519515991211,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2003,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.16,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_hidden_neuron,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.00010538101196289062,3.9999828338623047,3.999964952468872,3.999894618988037,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.5625,0.0007928916284640763,0.006466697470874633,1.0,0.025810091057792306,1.0,0.1034388792910468,0.1599249243736267,0.6396996974945068,0.025587987899780274,0.1023519515991211,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2011,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.16,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_hidden_neuron,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.0001068115234375,3.9999990463256836,3.9999606609344482,3.9998931884765625,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.375,0.0012155543107752464,0.007304267898221312,1.0,0.026059512398205698,1.0,0.10447662894053279,0.1599249243736267,0.6396996974945068,0.025587987899780274,0.1023519515991211,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2027,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.16,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_hidden_neuron,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.00012111663818359375,3.9999818801879883,3.9999518394470215,3.9998788833618164,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.4375,0.0006233489091300726,0.0035554491248998323,1.0,0.026000442099757493,1.0,0.10404944590158818,0.1599249243736267,0.6396996974945068,0.025587987899780274,0.1023519515991211,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2039,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.16,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_hidden_neuron,1.0,0.01,post_neuron,single_event,True,4,True,1.0,4.863739013671875e-05,3.999990463256836,3.9999687671661377,3.9999513626098633,,500,False,per_hidden_neuron,4,16,16,0.953623354434967,-2.0,0.625,0.00043416779493554714,0.0022628122864150725,1.0,0.025517387315630913,1.0,0.10209423807959361,0.1599249243736267,0.6396996974945068,0.025587987899780274,0.1023519515991211,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2053,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.16,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_hidden_neuron,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.0002002716064453125,4.000200271606445,4.000059127807617,4.000030517578125,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.25,0.00012733828464206454,0.0006685794062385238,1.0,0.02558950101956725,1.0,0.10236018738805737,0.15992498397827148,0.6396999359130859,0.025587997436523437,0.10235198974609375,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2003,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.16,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_hidden_neuron,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.0004968643188476562,4.000135898590088,3.9999704360961914,3.9995031356811523,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.3125,0.0001358587621211882,0.0008372341041380393,1.0,0.02559421060141176,1.0,0.1023802627730557,0.15992498397827148,0.6396999359130859,0.025587997436523437,0.10235198974609375,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2011,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.16,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_hidden_neuron,1.0,0.01,post_neuron,single_event,True,4,True,1.0,0.0001068115234375,4.0001068115234375,4.000033855438232,3.999971389770508,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.75,0.00021187330406746696,0.0011735413724580325,1.0,0.02544924197718501,1.0,0.10180221910182129,0.15992498397827148,0.6396999359130859,0.025587997436523437,0.10235198974609375,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2027,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.16,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_hidden_neuron,1.0,0.01,post_neuron,single_event,True,4,True,1.0,6.151199340820312e-05,4.000061511993408,4.000034809112549,4.000022888183594,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.5,0.0002445399366024503,0.001610695874763652,1.0,0.025466289138421416,1.0,0.10187672670721634,0.15992498397827148,0.6396999359130859,0.025587997436523437,0.10235198974609375,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2039,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.16,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_hidden_neuron,1.0,0.01,post_neuron,single_event,True,4,True,1.0,4.291534423828125e-05,4.000042915344238,4.000033855438232,4.00001335144043,,500,False,per_hidden_neuron,4,16,16,7.0463762283325195,2.0,0.5,0.00014471270304738937,0.0008936046187830166,1.0,0.025625154143199325,1.0,0.10250440400438629,0.15992498397827148,0.6396999359130859,0.025587997436523437,0.10235198974609375,2,True,True,True,1.0,1.0,16.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2053,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.64,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_synapse,1.0,0.01,pair,single_event,True,4,True,1.0,0.00014972686767578125,4.000033378601074,3.999962091445923,3.999850273132324,,500,False,per_synapse,4,16,64,0.953623354434967,-2.0,0.5,0.00030597930106424087,0.003397381760271394,1.0,0.025571363075869158,1.0,0.20459907019638918,0.03998123109340668,0.3198498487472534,0.025587987899780274,0.2047039031982422,2,True,True,True,1.0,1.0,64.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2003,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.64,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_synapse,1.0,0.01,pair,single_event,True,4,True,1.0,6.389617919921875e-05,3.9999818801879883,3.999966621398926,3.999936103820801,,500,False,per_synapse,4,16,64,0.953623354434967,-2.0,0.46875,0.00031430896980899625,0.004545691285658062,1.0,0.025643516011768952,1.0,0.20519800305184044,0.03998123109340668,0.3198498487472534,0.025587987899780274,0.2047039031982422,2,True,True,True,1.0,1.0,64.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2011,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.64,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_synapse,1.0,0.01,pair,single_event,True,4,True,1.0,6.008148193359375e-05,3.999998092651367,3.999965190887451,3.9999399185180664,,500,False,per_synapse,4,16,64,0.953623354434967,-2.0,0.40625,0.0004012190907065616,0.005299089013139893,1.0,0.025705871201353148,1.0,0.2057130698857619,0.03998123109340668,0.3198498487472534,0.025587987899780274,0.2047039031982422,2,True,True,True,1.0,1.0,64.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2027,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.64,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_synapse,1.0,0.01,pair,single_event,True,4,True,1.0,0.00018739700317382812,4.000128746032715,3.999964714050293,3.999812602996826,,500,False,per_synapse,4,16,64,0.953623354434967,-2.0,0.5,0.00022093493293828814,0.0030591012813885807,1.0,0.025691103597637266,1.0,0.20554993822027426,0.03998123109340668,0.3198498487472534,0.025587987899780274,0.2047039031982422,2,True,True,True,1.0,1.0,64.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2039,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.64,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_synapse,1.0,0.01,pair,single_event,True,4,True,1.0,4.00543212890625e-05,3.999983787536621,3.999966621398926,3.999959945678711,,500,False,per_synapse,4,16,64,0.953623354434967,-2.0,0.515625,0.00020391328167335132,0.0022403438992648498,1.0,0.025570340047124773,1.0,0.20457493925341994,0.03998123109340668,0.3198498487472534,0.025587987899780274,0.2047039031982422,2,True,True,True,1.0,1.0,64.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2053,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.64,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_synapse,1.0,0.01,pair,single_event,True,4,True,1.0,0.000217437744140625,4.000217437744141,4.00004243850708,3.9998836517333984,,500,False,per_synapse,4,16,64,7.046375751495361,2.0,0.5,5.8580102487049146e-05,0.0006726727973001152,1.0,0.025588375312509015,1.0,0.20470810768446052,0.03998124599456787,0.31984996795654297,0.025587997436523437,0.2047039794921875,2,True,True,True,1.0,1.0,64.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2003,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.64,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_synapse,1.0,0.01,pair,single_event,True,4,True,1.0,0.00020456314086914062,4.000204563140869,4.000040054321289,4.000018119812012,,500,False,per_synapse,4,16,64,7.046375751495361,2.0,0.46875,5.5604967193007004e-05,0.0006917975456559769,1.0,0.025589552766177803,1.0,0.20471759064108896,0.03998124599456787,0.31984996795654297,0.025587997436523437,0.2047039794921875,2,True,True,True,1.0,1.0,64.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2011,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.64,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_synapse,1.0,0.01,pair,single_event,True,4,True,1.0,6.008148193359375e-05,4.000060081481934,4.000034809112549,4.000011444091797,,500,False,per_synapse,4,16,64,7.046375751495361,2.0,0.609375,7.400214258468374e-05,0.0010196608500484623,1.0,0.025553310639224946,1.0,0.20442883972223375,0.03998124599456787,0.31984996795654297,0.025587997436523437,0.2047039794921875,2,True,True,True,1.0,1.0,64.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2027,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.64,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_synapse,1.0,0.01,pair,single_event,True,4,True,1.0,7.677078247070312e-05,4.000076770782471,4.000035285949707,4.000019073486328,,500,False,per_synapse,4,16,64,7.046375751495361,2.0,0.515625,7.854603666279658e-05,0.0012820452128330924,1.0,0.025557572400430217,1.0,0.2044644537174999,0.03998124599456787,0.31984996795654297,0.025587997436523437,0.2047039794921875,2,True,True,True,1.0,1.0,64.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2039,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
1,1.0,0.64,sealed_confirmation,1.0,0.01,final_only,0.0,True,confirm_per_synapse,1.0,0.01,pair,single_event,True,4,True,1.0,4.57763671875e-05,4.0000457763671875,4.000034332275391,4.000013828277588,,500,False,per_synapse,4,16,64,7.046375751495361,2.0,0.5,5.686580160957355e-05,0.0007239707086834128,1.0,0.025597288651624694,1.0,0.2047795754871378,0.03998124599456787,0.31984996795654297,0.025587997436523437,0.2047039794921875,2,True,True,True,1.0,1.0,64.0,XOR,xor_delay_granularity_rescue_level1br_v1,r1_dimension_matched,2053,r3_sealed_confirmation,0.0,r3,4.0,15,False,0.01
